Date,MKT,SMB,HML,RMW,CMA
20121231,1.71,0.4,-0.07,0.15,-0.28
20130102,2.62,0.12,0.35,-0.62,-0.04
20130103,-0.14,0.14,0.05,0.17,0.22
20130104,0.55,0.19,0.43,-0.38,0.27
20130107,-0.31,-0.08,-0.36,-0.1,-0.12
20130108,-0.27,0.03,-0.06,-0.16,0.09
20130109,0.34,0.24,-0.41,-0.01,-0.15
20130110,0.66,-0.59,0.51,-0.18,0.04
20130111,0.02,0.04,-0.45,0.26,-0.21
20130114,-0.06,0.03,-0.09,-0.08,0.37
20130115,0.19,0.28,0.01,-0.08,0.07
20130116,-0.04,-0.23,0.23,-0.02,-0.03
20130117,0.61,0.39,-0.09,0.19,-0.01
20130118,0.29,0.03,-0.11,0.17,0.27
20130122,0.48,0.22,0.46,-0.18,0.11
20130123,0.1,-0.33,-0.12,-0.15,-0.15
20130124,0.09,0.34,0.05,0.08,0.53
20130125,0.59,-0.04,-0.28,0,-0.16
20130128,-0.14,0.35,0.12,-0.05,-0.04
20130129,0.36,-0.44,0.36,-0.11,0.3
20130130,-0.38,-0.89,0.12,-0.1,-0.01
20130131,-0.08,0.72,0.19,-0.25,0.1
20130201,0.99,0.08,0.26,-0.27,-0.06
20130204,-1.19,-0.1,-0.16,-0.02,0.02
20130205,1.07,-0.05,0.18,0,-0.1
20130206,0.15,0.3,0.13,-0.16,0.04
20130207,-0.15,-0.08,0.02,0.18,-0.04
20130208,0.58,0.03,-0.21,0.12,-0.45
20130211,-0.08,-0.03,0.39,-0.18,0.28
20130212,0.16,0.26,0.71,-0.55,0.45
20130213,0.14,0.08,-0.01,-0.01,-0.04
20130214,0.11,0.32,0.12,-0.3,-0.21
20130215,-0.11,0.01,-0.09,-0.06,0.13
20130219,0.74,0.25,0.18,-0.08,0.35
20130220,-1.36,-0.61,-0.64,0.25,0.11
20130221,-0.66,-0.31,-0.06,0.06,0.26
20130222,0.94,0.17,-0.06,-0.1,-0.14
20130225,-1.82,-0.26,-0.72,0.59,-0.39
20130226,0.58,-0.19,0.02,-0.01,0.22
20130227,1.29,-0.32,0.16,-0.2,0.03
20130228,-0.05,0.11,-0.16,0.04,0
20130301,0.22,0.11,-0.33,-0.11,0
20130304,0.47,-0.41,0.1,-0.39,0.44
20130305,1,0.19,-0.17,0.04,0
20130306,0.18,0.14,0.48,-0.27,0.13
20130307,0.27,0.22,0.42,-0.17,-0.02
20130308,0.52,0.39,-0.16,0,0.03
20130311,0.3,-0.29,0.23,0.01,0.03
20130312,-0.22,0.04,-0.13,0.27,0.08
20130313,0.2,0.22,0.06,0.09,0.26
20130314,0.58,0.41,0.39,-0.02,-0.01
20130315,-0.19,0.12,0.42,0.2,0.01
20130318,-0.5,0.09,-0.23,0.34,-0.03
20130319,-0.24,-0.05,0.04,0.14,0.37
20130320,0.76,0.22,0.01,-0.26,0.21
20130321,-0.85,0.13,-0.28,-0.01,0.07
20130322,0.62,-0.52,-0.3,0.12,-0.15
20130325,-0.29,0.3,0.02,0.07,-0.03
20130326,0.76,-0.39,-0.22,0.06,-0.04
20130327,-0.02,0.11,-0.3,0.1,-0.1
20130328,0.39,-0.3,-0.3,-0.16,0.09
20130401,-0.57,-0.91,0.02,0.14,0.26
20130402,0.33,-0.9,-0.33,-0.06,0.03
20130403,-1.16,-0.42,-0.2,0.53,-0.12
20130404,0.42,0.25,0.25,-0.08,0.27
20130405,-0.41,0.09,0.35,-0.13,0.24
20130408,0.7,0.11,0.29,-0.34,0.12
20130409,0.31,-0.41,0.2,-0.02,-0.39
20130410,1.28,0.62,-0.1,-0.03,-0.07
20130411,0.35,-0.17,-0.14,0.12,0.48
